ID,W,G,H,1B,2B,3B,HR,BB,SO,SB,BA,SLG,OPS,OBA
1,90,159,1382,1001,224,33,124,580,834,104,0.252466204,0.373401535,0.697484785,0.324083251
3,57,159,1338,1003,171,39,125,383,872,63,0.249347745,0.365635483,0.664991892,0.29935641
5,81,159,1423,1111,189,38,85,479,631,75,0.26293422,0.359016999,0.681882387,0.322865388
7,69,159,1400,1026,223,45,106,488,698,64,0.260950606,0.378564772,0.701134394,0.322569622
9,95,160,1500,1038,284,44,134,565,741,66,0.275330396,0.417400881,0.760823465,0.343422584
11,56,160,1327,964,229,37,97,522,702,123,0.24766704,0.358529302,0.672985084,0.314455782
13,95,160,1445,987,273,42,143,432,890,121,0.264409881,0.408234218,0.726531657,0.318297439
15,73,160,1505,1055,290,33,127,454,668,97,0.275489658,0.410397218,0.741477157,0.331079939
17,83,160,1588,1093,297,36,162,475,720,79,0.283419597,0.43601642,0.775437282,0.339420862
19,79,160,1517,1167,221,40,89,617,625,118,0.277330896,0.381170018,0.731753228,0.35058321
21,54,160,1319,967,228,28,96,432,848,95,0.242463235,0.347610294,0.645805117,0.298194823
23,85,160,1327,932,240,45,110,553,947,119,0.24670013,0.369399517,0.686324668,0.316925152
25,77,160,1395,978,232,26,159,442,879,123,0.25262586,0.390438247,0.698453002,0.308014755
27,82,161,1345,1038,198,24,85,540,805,27,0.246472421,0.338281107,0.652604935,0.314323829
29,86,161,1492,1147,216,46,83,531,752,172,0.265480427,0.364590747,0.693480359,0.328889611
31,67,161,1323,1009,179,28,107,543,759,55,0.243915929,0.346423304,0.659143264,0.31271996
33,80,161,1412,1048,235,45,84,604,775,99,0.259225262,0.365155131,0.698323203,0.333168071
35,75,161,1400,1059,209,38,94,611,800,101,0.255009107,0.358287796,0.687905891,0.329618095
37,74,161,1401,1055,207,38,101,450,730,107,0.257489432,0.365190222,0.679398336,0.314208114
39,87,161,1319,965,208,33,113,592,818,341,0.246403886,0.360919111,0.682365705,0.321446594
41,97,161,1551,1024,258,56,213,528,905,66,0.281488203,0.4646098,0.808929111,0.344319311
43,84,161,1588,1132,273,60,123,563,754,105,0.281610215,0.416740557,0.763564162,0.346823605
45,54,161,1367,996,230,41,100,499,819,65,0.252307124,0.365263935,0.68062645,0.315362515
47,88,161,1390,982,239,54,115,480,874,213,0.257121717,0.385127636,0.70283066,0.317703024
49,71,161,1423,1055,221,41,106,409,625,83,0.26386056,0.379009828,0.694763016,0.315753189
51,90,161,1445,1016,266,31,132,614,902,99,0.263830564,0.396019719,0.73405945,0.338039731
53,81,161,1388,1015,206,29,138,657,786,143,0.258184524,0.384300595,0.723269599,0.338969004
55,95,161,1552,1035,291,41,185,549,745,100,0.280346821,0.447976879,0.793252146,0.345275267
57,75,161,1310,987,199,44,80,509,840,100,0.244038748,0.342213115,0.65172477,0.309511656
59,96,161,1415,992,240,47,136,567,967,154,0.260253816,0.396726136,0.726839394,0.330113258
61,67,161,1446,1082,232,36,96,432,673,52,0.262384322,0.369805843,0.685807862,0.316002019
63,84,161,1342,933,242,49,118,492,880,169,0.247191011,0.375023024,0.684768,0.309744976
65,83,161,1451,981,234,22,214,604,908,69,0.263005256,0.429762552,0.765492008,0.335729456
67,71,161,1467,1072,250,44,101,462,746,69,0.263469828,0.378591954,0.698492452,0.319900498
69,62,161,1359,976,213,41,129,530,819,130,0.253497482,0.380712554,0.701371185,0.320658632
71,72,161,1348,945,241,24,138,538,904,93,0.250371471,0.380943536,0.699417025,0.318473489
73,86,161,1386,927,266,39,154,589,1154,153,0.252781324,0.399781142,0.725044646,0.325263505
75,95,161,1488,1003,320,21,144,595,707,41,0.27064387,0.415060022,0.756927739,0.341867717
77,69,161,1401,941,284,24,152,641,834,135,0.258106116,0.403279293,0.73974329,0.336463997
79,87,161,1334,941,246,25,122,479,922,207,0.245853299,0.367858459,0.674886402,0.307027942
81,54,161,1275,919,199,20,137,504,869,69,0.237961926,0.359275849,0.66275589,0.303480041
83,84,161,1419,983,275,40,121,486,944,137,0.259462425,0.390747852,0.710647096,0.319899244
85,68,161,1397,951,271,27,148,461,787,95,0.256990434,0.398454746,0.713530208,0.315075462
87,63,161,1281,930,201,22,128,485,996,83,0.234486546,0.349624748,0.646531272,0.296906523
89,74,161,1470,1088,229,23,130,502,831,137,0.269329425,0.391168926,0.72204141,0.330872483
91,75,161,1465,1005,316,44,100,498,879,107,0.266946064,0.395225948,0.723157788,0.327931841
93,77,161,1305,914,250,24,117,578,789,153,0.243515581,0.364620265,0.681783816,0.317163551
95,99,161,1665,1089,335,23,218,671,844,160,0.293082204,0.475268439,0.843026625,0.367758186
97,85,161,1625,1018,343,19,245,670,1052,90,0.286697248,0.483592096,0.845693705,0.362101609
99,86,161,1589,1046,301,22,220,617,955,118,0.28599712,0.466882649,0.824245358,0.357362709
101,78,161,1415,959,294,27,135,494,967,103,0.259919177,0.398236591,0.719725307,0.321488717
103,76,161,1553,970,321,28,234,558,1081,115,0.27594172,0.467661692,0.808916137,0.341254446
105,78,161,1417,924,282,40,171,573,1197,112,0.259144111,0.419166057,0.748581717,0.32941566
107,69,161,1433,898,289,34,212,458,1049,108,0.261448641,0.44261996,0.761023732,0.318403772
109,63,161,1450,1030,285,30,105,500,978,118,0.263876251,0.383985441,0.709256501,0.325271059
111,87,161,1541,1017,294,25,205,631,1007,99,0.277357811,0.449964003,0.804110809,0.354146806
113,69,161,1414,977,253,22,162,559,1022,90,0.256857402,0.399091735,0.727602788,0.328511053
115,95,161,1488,976,289,20,203,519,1035,161,0.266810113,0.435000897,0.768871604,0.333870708
117,75,161,1409,989,238,22,160,486,1044,87,0.256368268,0.395014556,0.717319083,0.322304527
119,72,161,1300,875,263,20,142,537,1109,86,0.243902439,0.380675422,0.700020013,0.319344591
121,94,161,1518,967,348,36,167,472,1089,79,0.271945539,0.436940165,0.768975218,0.332035054
123,55,161,1418,953,297,35,133,456,1115,102,0.253033547,0.389721627,0.703663779,0.313942151
125,100,161,1440,950,281,29,180,593,980,53,0.263929619,0.425036657,0.763319947,0.33828329
127,72,161,1428,980,267,39,142,415,1066,63,0.260441364,0.401057815,0.722184576,0.321126761
129,67,161,1438,969,290,34,145,513,1083,58,0.259989152,0.403362864,0.731769555,0.328406692
131,83,161,1484,981,292,27,184,531,922,59,0.268743209,0.431365447,0.768707014,0.337341566
133,84,161,1397,859,302,28,208,543,1371,76,0.25404619,0.432624113,0.758919387,0.326295274
135,59,161,1376,964,269,26,117,534,1095,81,0.250591878,0.372973957,0.695591451,0.322617493
137,75,161,1318,900,270,23,125,574,1226,88,0.241790497,0.368556228,0.686172469,0.317616241
139,62,161,1364,916,289,34,125,499,1142,90,0.251799889,0.386930035,0.705202793,0.318272758
141,80,161,1319,886,257,22,154,470,1323,106,0.242418673,0.382650248,0.691238797,0.308588549
143,99,162,1398,995,232,34,137,639,947,148,0.253950954,0.383106267,0.714649236,0.331542969
145,95,162,1473,1115,219,29,110,497,795,109,0.262847966,0.371163455,0.69406134,0.322897886
147,71,162,1381,1000,218,29,134,476,979,51,0.249008294,0.371258565,0.679627877,0.308369313
149,60,162,1330,994,198,26,112,401,966,88,0.243723658,0.351108668,0.64660201,0.295493342
151,81,162,1418,1068,240,35,75,531,796,100,0.258853596,0.356516977,0.68086379,0.324346813
