ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
2,A.J. Ellis\ellisaj01,0.3,2010,29,LAD,NL,44,128,108,6,30,5,0,0,16,14,1,18,1,4,1,5,0,0,0.278,0.363,0.324,0.687,*2/H
4,Aaron Cook\cookaa01,-0.1,2010,31,COL,NL,28,45,40,5,6,2,0,0,1,0,0,17,0,5,0,0,0,0,0.15,0.15,0.2,0.35,*1/H
5,Aaron Cunningham\cunniaa01,0.1,2010,24,SDP,NL,53,147,132,17,38,12,1,1,15,7,1,28,3,2,3,3,1,3,0.288,0.331,0.417,0.748,79H/8
6,Aaron Harang\haranaa01,-0.2,2010,32,CIN,NL,22,40,37,1,5,1,0,0,2,0,0,13,0,3,0,2,0,0,0.135,0.135,0.162,0.297,*1
7,Aaron Heilman\heilmaa01,0.0,2010,31,ARI,NL,70,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
10,Aaron Miles\milesaa01,0.0,2010,33,STL,NL,79,151,139,14,39,5,0,0,9,6,1,14,1,3,2,1,0,1,0.281,0.311,0.317,0.627,*4H/651D
11,Aaron Rowand\rowanaa01,0.4,2010,32,SFG,NL,105,357,331,42,76,12,2,11,34,16,3,74,8,1,1,11,5,3,0.23,0.281,0.378,0.659,*8H
12,Adalberto Mendez\mendead01,0.1,2010,28,FLA,NL,5,10,7,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0.286,0.286,0.286,0.571,/*1
13,Adam Dunn\dunnad01,2.4,2010,30,WSN,NL,158,648,558,85,145,36,2,38,103,77,10,199,9,0,4,10,0,1,0.26,0.356,0.536,0.892,*3/HD
16,Adam Kennedy\kennead01,0.6,2010,34,WSN,NL,135,389,342,43,85,16,1,3,31,37,1,44,5,1,4,10,14,2,0.249,0.327,0.327,0.655,*43H/5
17,Adam LaRoche\larocad01,1.1,2010,30,ARI,NL,151,615,560,75,146,37,2,25,100,48,4,172,3,0,4,8,0,1,0.261,0.32,0.468,0.788,*3/HD
20,Adam Ottavino\ottavad01,0.0,2010,24,STL,NL,6,7,6,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0.143,0.0,0.143,/*1H
22,Adam Russell\russead01,0.0,2010,27,SDP,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
23,Adam Stern\sternad01,-0.2,2010,30,MIL,NL,6,8,8,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,/*H98
24,Adam Wainwright\wainwad01,0.3,2010,28,STL,NL,37,96,84,4,14,5,0,0,6,7,0,23,0,5,0,2,0,0,0.167,0.231,0.226,0.457,*1/H
26,Adrian Gonzalez\gonzaad01,4.3,2010,28,SDP,NL,160,693,591,87,176,33,0,31,101,93,35,114,2,2,4,15,0,0,0.298,0.393,0.511,0.904,*3/D
28,Albert Pujols\pujolal01,7.5,2010,30,STL,NL,159,700,587,115,183,39,1,42,118,103,38,76,4,0,6,23,14,4,0.312,0.414,0.596,1.011,*3/H
31,Alberto Gonzalez\gonzaal03,0.1,2010,27,WSN,NL,114,198,186,19,46,8,1,0,5,7,0,30,1,3,1,8,0,0,0.247,0.277,0.301,0.578,H456/39
32,Alcides Escobar\escobal02,0.5,2010,23,MIL,NL,145,552,506,57,119,14,10,4,41,36,7,70,3,4,3,8,10,4,0.235,0.288,0.326,0.614,*6/H798
39,Alex Presley\preslal01,-0.2,2010,24,PIT,NL,19,25,23,2,6,1,0,0,0,1,0,8,0,1,0,0,1,1,0.261,0.292,0.304,0.596,/H987
42,Alex Sanabia\sanabal01,-0.2,2010,21,FLA,NL,15,26,22,0,1,0,0,0,0,0,0,11,1,3,0,0,0,0,0.045,0.087,0.045,0.132,*1
46,Alfonso Soriano\soriaal01,0.8,2010,34,CHC,NL,147,548,496,67,128,40,3,24,79,45,3,123,3,1,3,12,5,1,0.258,0.322,0.496,0.818,*7H/D
50,Allen Craig\craigal01,0.1,2010,25,STL,NL,44,124,114,12,28,7,0,4,18,9,1,26,0,0,1,1,0,1,0.246,0.298,0.412,0.711,*9/H3754
52,Andre Ethier\ethiean01,1.8,2010,28,LAD,NL,139,585,517,71,151,33,1,23,82,59,11,102,3,0,6,11,2,1,0.292,0.364,0.493,0.857,*9/H3
54,Andres Torres\torrean02,5.3,2010,32,SFG,NL,139,570,507,84,136,43,8,16,63,56,2,128,2,5,0,10,26,7,0.268,0.343,0.479,0.823,*897H
56,Andrew Cashner\cashnan01,0.0,2010,23,CHC,NL,53,3,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,*1
57,Andrew McCutchen\mccutan01,3.8,2010,23,PIT,NL,154,653,570,94,163,35,5,16,56,70,1,89,5,1,7,6,33,10,0.286,0.365,0.449,0.814,*8/H
58,Andrew Miller\millean01,-0.1,2010,25,FLA,NL,9,9,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/*1
61,Andy LaRoche\larocan01,-1.3,2010,26,PIT,NL,102,271,247,26,51,8,0,4,16,19,0,43,2,2,1,7,1,1,0.206,0.268,0.287,0.555,*5H/43D
66,Angel Pagan\paganan01,5.3,2010,28,NYM,NL,151,633,579,80,168,31,7,11,69,44,5,97,1,6,3,9,37,9,0.29,0.34,0.425,0.765,*897/H
68,Anibal Sanchez\sanchan01,-0.2,2010,26,FLA,NL,33,69,59,3,6,0,0,0,1,4,0,28,0,6,0,0,0,0,0.102,0.159,0.102,0.26,*1/H
