Chicago-White-Sox	0.272	22,484	50.1	68.4	81.2	30.5	56.7	43.7	32.6	49.5	26.1	7.4	76.7	4,025	42.9	25.6	24.1	7.5	36.6	37.7	25.7	4.5	31.5	27.1	24.5	6	34.6	6.1
Cleveland-Guardians	0.306	22,805	49.3	68.9	83.5	30.4	60.5	43.7	31.1	49.4	23.1	7.3	77.4	4,174	41.9	26.5	23.1	8.6	41	36.1	22.9	5.1	30.4	28.9	23.7	6.1	33.3	5.8
Cinncinatti-Reds	0.303	23,183	49.7	67.2	82	27.1	51.8	42.4	32.5	47	26.4	7.5	76.7	3,927	42.2	26.8	23.7	7.3	41.8	33.9	24.3	5.2	30.8	26.9	24.1	5.7	34.2	7
Washington-Nationals	0.3	22,769	49.9	66	83.9	29.5	60.4	43.1	32.4	47.7	22.7	7.6	76.6	4,220	47.3	23.3	22.7	6.6	37.7	36.6	25.7	5.3	34.4	23.4	25.3	5.6	30.6	5.6
Los-Angeles-Angels	0.296	23,323	49.7	67.1	82	27.8	54.9	42.4	32.4	47.3	25.6	7.5	78.1	3,988	42.9	26.6	23.7	6.8	38.3	36.9	24.8	4.2	31.1	26.9	24	6.4	34	7.1
Kansas-City-Royals	0.307	22,755	48.9	68.7	84.9	30.1	59.2	42.2	30.7	49	22.9	7.5	78.5	4,337	42.2	27.4	22.9	7.5	40.8	35.4	23.8	4.3	30.3	28	23.9	6	32.3	7.4
Tampa-Bay-Rays	0.294	23,956	48.8	67.8	79.3	30.1	55.3	43.2	34	48.5	27.9	7.4	77.7	3,946	42.9	24.5	23.4	9.2	38.5	37	24.5	4.8	32.3	26.2	23.2	5.7	32.7	7.4
Detroit-Tigers	0.299	23,763	49.8	66.5	81.8	27.4	54.7	42.6	27.5	46.9	26	7.6	76	4,026	41.1	27.4	24	7.4	38.9	37.3	23.8	3.7	30.6	26.9	24.5	6.4	34.3	7.6
Colorado-Rockies	0.306	23,302	49.2	70.2	79.9	31.8	48.6	42.9	36.4	50.7	29.8	7.6	79.8	3,901	43.4	27.1	24.3	5.2	36.8	38.5	24.7	4.7	31	24.6	24.9	6.2	34.9	8.3
Oakland-Athletics	0.303	23,171	49.4	68.6	80.3	28.2	49.6	43	34	48.2	28.4	7.4	79.4	3,986	42.4	27.5	22.6	7.4	38.1	37.8	24.1	3.8	31.2	27.1	23	6.1	33.7	8.5
